17|1|5|2
8|7|3|22
19|20|18|14
13|10|6|12
5|4|16|15
2|9|7|21
11|18|17|8
22|6|1|19
3|16|14|13
20|12|21|4
10|15|11|9
7|8|1|5
16|22|2|17
21|13|6|18
4|3|19|10
12|14|9|1
22|5|20|11
15|2|8|6
17|19|13|7
18|10|12|16
14|21|4|11
9|3|15|20
1|17|99|16
6|19|11|5
12|22|7|14
2|13|8|10
1|4|18|3
16|11|20|9
6|17|14|15
21|8|19|12
3|5|10|7
13|18|9|22
4|11|16|2
15|20|21|1
14|99|17|8
5|9|13|19
18|12|2|3
20|7|4|6
10|15|22|21
19|1|8|16
14|2|5|99
11|3|12|17
7|20|99|18
22|4|15|13
9|21|10|6
